subjectform	subjectPos	subject_Type	objectForm	objectPos	object_Type	relation	relationposTags
Laboratoires Plantes	product	M�decines	product	et	CC	
Dior Homme	not_identified	Cologne	not_identified	lance en f�vrier une	V P NPP DET	
Soleil Juillet	not_identified	Soleil Août	not_identified	\" ou	PONCT CC	
Crayon Fixateur Sourcils	product	Réserve Naturelle	brand	de	P	
BB Cream	product	Chubby Stick	not_identified	ou le	CC DET	
Acqua di Gio	product	Acqua di Gioia	product	et	CC	
pays	not_identified	Hypn�se Doll Eyes	product	sur	P	
Eucerin	brand	Hansaplast	brand	et	CC	
Jean-Paul Agon	not_identified	Oréal	not_identified	, PDG de l'	PONCT NC P DET	
The Emotion & Beauty Lab	division	Pr Jean Cotte	not_identified	et �l�ve du	CC NPP P	
Eau thermale	product	Vichy	brand	de	P	
Gel�e	product	Enchanted Silver	product	d' interdit	P V	
Parfum	range	Maquillage Kimmi	range	et	CC	
Rouge Coco	product	Chanel	brand	de	P	
Emmanuel	not_identified	La Baume	product	de	P	
Acqua di Gioia	product	Acqua for Life	product	dans leur édition	P DET NC	
Off With Her Red	product	OPI Alice	range	( de la collection	PONCT P DET NC	
Casino	not_identified	Palais	not_identified	situ�e en face du	V P NC	
St�moxydine	not_identified	Dercos Neogenic	range	, pr�sent dans la gamme	PONCT V P DET NC	
Bourgeois	not_identified	Biotherm	not_identified	( directeur g�n�ral France de	PONCT NC ADJ NPP P	
Auri�ge	brand	Ari�ge	not_identified	tire son origine de l'	V DET NC P	
Emmanuel	not_identified	La Baume	product	de	P	
Algotherm	not_identified	Nature-Algues	not_identified	et	CC	
Pr�f�rence Mousse absolue	product	L'Or�al Paris	brand	de	P	
Hydra Sparkling baume l�vres	product	Dior Addict Lip Glow	product	et joues Givenchy ,	CC NC NPP PONCT	
Redken	product	K�ranove	product	ou	CC	
Cadum	not_identified	Produits grand public	division	rejoint la division des	V DET NC P	
Marionnaud	not_identified	Hutchison	not_identified	( également propriété d'	PONCT ADV NC P	
Or�al luxe	not_identified	Rouge Volupt� shine	product	lance en f�vrier	V P NC	
Gravity	product	Hijack	product	et	CC	
Lime Crime	brand	Lime Crime	brand	: sur le site officiel	PONCT P DET NC ADJ	
Acqua	range	Tattoo	not_identified	di Gio ,	NPP PONCT	
Dop	not_identified	Douceurs	range	propose une nouvelle ligne ,	V DET ADJ NC PONCT	
Jean-Fran�ois Leprince	not_identified	Clarins Fragrance Group	group	, depuis 2008 DG France de	PONCT P ADJ NPP	
Travail	not_identified	Grande	not_identified	, nous lancerons la	PONCT CLS V DET	
Ducray	brand	A-Derma	brand	et	CC	
Lancienne �tudiante	range	Universit� de Californie Santa Cruz	not_identified	de l'	P DET	
Essec	not_identified	Innothera	not_identified	avant d' entrer en 1995 chez	P VINF ADJ	
cr�ateur	not_identified	Touche Eclat	product	de	P	
Cognis	not_identified	Henkel	not_identified	, puis chez	PONCT CC P	
S�bium	range	Bioderma	not_identified	chez	P	
Only°the°Brave Tattoo	product	Diesel	brand	de	P	
Ex-Reed Exhibitions	not_identified	Greentech en tant que responsable marketing	not_identified	, elle a rejoint	PONCT CLS V VPP	
Zeste de Vigne	product	Th�	product	et	CC	
Mousse Absolue	product	Pr�f�rence	brand	de	P	
Aqua Cream	product	Make Up forever	brand	de	P	
Pur produit	division	Luxe	division	de la division	P DET NC	
Tr�sor Midnight Rose	product	Tr�sor	range	a fait passer la franchise	V VPP VINF DET NC	
Pacific Creation g�re	division	Lolita Lempicka R�mi Clero	product	notamment les parfums	ADV DET NC	
Acqua di Gio	product	Acqua di Gioia	product	et	CC	
Luxe	division	L'Or�al	group	de	P	
Repetto	product	Van Cleef & Arpels	not_identified	et une nouveaut� sur	CC DET NC P	
Black Up	product	Make Up for Ever	not_identified	ou	CC	
Cosm�tique Active	division	LOr�al	group	de	P	
Cl�	brand	Peau	group	de	P	
New York	not_identified	Kiehl's	brand	, essentiellement pour la marque	PONCT ADV P DET NC	
Parfums	brand	Prestige International	group	de	P	
Lanc�me	brand	Manifesto	brand	et	CC	
Courval	not_identified	lancement	not_identified	pour le	P DET	
